id,name,sub1,sub2,sub3,sub4,sub5,sub6,total,average,grade,dept
1804,Olivia Johnson,56,44,91,46,94,97,428,71.33,B,EEE
1805,Liam Johnson,59,95,83,43,55,84,419,69.83,C,ISE
1806,Ava Johnson,58,47,49,41,67,78,340,56.67,D,EEE
1807,Sophia Miller,66,90,99,80,95,97,527,87.83,A,EEE
1808,Emma Smith,63,50,41,74,81,41,350,58.33,D,CSE
1809,Ethan Garcia,62,65,67,89,95,62,440,73.33,B,ISE
1810,Mia Davis,74,74,67,95,53,44,407,67.83,C,ISE
1811,Mason Miller,81,78,56,44,88,40,387,64.5,C,EEE
1812,Noah Jones,97,40,76,72,71,48,404,67.33,C,CSE
1813,Lucas Williams,80,96,94,55,49,94,468,78.0,B,ECE
1814,Emma Smith,70,45,93,99,88,84,479,79.83,B,EEE
1815,Sophia Davis,64,90,98,86,57,93,488,81.33,B,EEE
1816,Mason Brown,88,69,41,68,71,87,424,70.67,B,ISE
1817,Ava Garcia,64,65,74,49,57,44,353,58.83,D,ISE
1818,Ethan Miller,91,87,59,61,52,46,396,66.0,C,ISE
1819,Emma Davis,72,72,76,78,50,83,431,71.83,B,CSE
1820,Liam Miller,96,71,55,99,77,50,448,74.67,B,CSE
1821,Lucas Brown,61,53,40,75,66,91,386,64.33,C,CSE
1822,Noah Garcia,80,88,52,67,58,57,402,67.0,C,ECE
1823,Liam Jones,48,83,83,72,96,71,453,75.5,B,ECE
1824,Mia Davis,76,89,100,60,76,48,449,74.83,B,CSE
1825,Ava Brown,76,53,76,45,92,67,409,68.17,C,EEE
1826,Noah Williams,46,91,50,61,70,99,417,69.5,C,ECE
1827,Mia Miller,68,94,48,48,94,96,448,74.67,B,ISE
1828,Liam Smith,82,67,87,50,88,54,428,71.33,B,ISE
1829,Noah Miller,79,64,76,61,82,71,433,72.17,B,EEE
1830,Mia Miller,42,65,91,57,88,83,426,71.0,B,CSE
1831,Ava Davis,78,59,45,52,90,85,409,68.17,C,ISE
1832,Noah Garcia,44,56,54,50,71,57,332,55.33,D,ECE
1833,Lucas Garcia,64,50,46,52,43,54,309,51.5,D,ISE
1834,Liam Johnson,80,92,42,91,88,79,472,78.67,B,ECE
1835,Olivia Miller,96,44,78,50,41,79,388,64.67,C,EEE
1836,Noah Garcia,43,98,77,45,50,66,379,63.17,C,EEE
1837,Mia Johnson,58,64,58,48,69,47,344,57.33,D,ECE
1838,Sophia Johnson,82,66,58,88,53,85,432,72.0,B,EEE
1839,Liam Johnson,96,89,91,78,53,78,485,80.83,B,CSE
1840,Noah Williams,78,53,84,44,58,84,401,66.83,C,CSE
1841,Mason Smith,62,75,64,99,45,99,444,74.0,B,CSE
1842,Ava Davis,68,65,68,62,42,71,376,62.67,C,ECE
1843,Mason Smith,68,47,78,51,84,73,401,66.83,C,EEE
1844,Ethan Miller,51,52,66,51,75,99,394,65.67,C,ISE
1845,Liam Johnson,72,88,91,74,48,54,427,71.17,B,ISE
1846,Ethan Williams,40,100,86,81,55,77,439,73.17,B,CSE
1847,Lucas Davis,78,78,81,55,58,57,407,67.83,C,ISE
1848,Sophia Smith,43,88,50,94,49,80,404,67.33,C,ISE
1849,Ava Williams,73,83,88,97,47,80,468,78.0,B,EEE
1850,Sophia Jones,74,63,94,68,96,45,440,73.33,B,ECE
1851,Ava Miller,51,46,79,91,76,63,406,67.67,C,EEE
1852,Mason Davis,81,65,60,87,96,49,438,73.0,B,EEE
1853,Olivia Williams,91,48,79,95,79,58,450,75.0,B,ISE
1854,Mason Davis,74,58,82,100,74,47,435,72.5,B,CSE
1855,Olivia Brown,54,56,73,70,64,95,412,68.67,C,ISE
1856,Lucas Miller,52,60,84,92,60,85,433,72.17,B,EEE
1857,Liam Johnson,94,92,76,53,83,76,474,79.0,B,ECE
1858,Ethan Johnson,61,93,96,52,71,93,466,77.67,B,CSE
1859,Mason Smith,42,75,53,53,49,84,356,59.33,D,CSE
1860,Ethan Smith,51,91,55,78,53,77,405,67.5,C,ECE
1861,Ava Davis,70,60,52,60,79,44,365,60.83,C,ISE
1862,Emma Jones,100,47,71,55,41,47,361,60.17,C,EEE
1863,Sophia Miller,92,55,85,53,89,41,415,69.17,C,ECE
1864,Noah Brown,73,75,90,91,57,86,472,78.67,B,CSE
1865,Olivia Garcia,67,59,99,90,89,74,478,79.67,B,ISE
1866,Emma Williams,91,98,53,88,55,86,471,78.5,B,ECE
1867,Sophia Williams,76,59,65,71,55,57,383,63.83,C,EEE
1868,Mia Jones,56,94,63,83,66,64,426,71.0,B,CSE
1869,Emma Smith,93,41,47,96,47,54,378,63.0,C,EEE
1870,Ava Davis,91,75,71,87,57,57,438,73.0,B,CSE
1871,Sophia Garcia,47,63,64,82,69,64,389,64.83,C,ISE
1872,Olivia Smith,62,49,98,69,51,75,404,67.33,C,ECE
1873,Ethan Miller,68,72,41,96,69,77,423,70.5,B,CSE
1874,Mason Miller,71,81,68,87,85,68,460,76.67,B,ECE
1875,Liam Garcia,65,74,61,96,77,92,465,77.5,B,ECE
1876,Noah Johnson,84,69,53,73,81,87,447,74.5,B,CSE
1877,Noah Williams,65,91,49,88,62,42,397,66.17,C,ECE
1878,Ethan Johnson,88,97,52,56,49,70,412,68.67,C,EEE
1879,Mason Garcia,56,45,90,64,81,44,380,63.33,C,EEE
1880,Liam Brown,46,44,74,91,72,80,407,67.83,C,ECE
1881,Olivia Jones,61,79,78,48,84,80,430,71.67,B,ECE
1882,Mia Smith,94,96,85,72,90,44,481,80.17,B,ECE
1883,Mason Brown,49,57,77,81,74,95,433,72.17,B,ISE
1884,Olivia Garcia,79,56,50,81,47,69,382,63.67,C,ECE
1885,Emma Davis,90,48,46,73,58,93,408,68.0,C,ECE
1886,Noah Williams,93,65,51,60,72,84,425,70.83,B,ECE
1887,Ava Jones,58,75,87,70,55,56,401,66.83,C,CSE
1888,Sophia Davis,59,74,57,53,81,99,423,70.5,B,CSE
1889,Lucas Brown,79,61,79,55,56,73,403,67.17,C,ISE
1890,Emma Davis,43,56,54,57,47,48,305,50.83,D,ECE
1891,Ava Brown,100,62,66,55,89,45,417,69.5,C,EEE
1892,Ava Garcia,48,45,78,75,96,44,386,64.33,C,CSE
1893,Emma Miller,73,78,59,80,80,67,437,72.83,B,ISE
1894,Liam Williams,69,46,94,44,96,77,426,71.0,B,ISE
1895,Emma Williams,64,91,51,65,91,82,444,74.0,B,ECE
1896,Emma Smith,62,53,48,66,72,73,374,62.33,C,ECE
1897,Ethan Brown,62,54,56,49,83,61,365,60.83,C,ISE
1898,Noah Johnson,83,69,62,49,89,53,405,67.5,C,EEE
1899,Emma Garcia,64,50,98,53,63,43,371,61.83,C,CSE
1900,Noah Williams,41,87,82,45,97,83,435,72.5,B,CSE
1901,Noah Johnson,89,93,49,90,84,73,478,79.67,B,EEE
1902,Ava Williams,94,50,88,69,64,41,406,67.67,C,EEE
1903,Olivia Williams,82,58,71,99,54,77,441,73.5,B,EEE
1904,Noah Brown,98,47,81,51,95,71,443,73.83,B,ECE
1905,Noah Johnson,60,73,83,42,100,40,398,66.33,C,CSE
1906,Noah Johnson,40,42,64,56,90,63,355,59.17,D,ECE
1907,Emma Brown,69,54,43,81,64,86,397,66.17,C,ISE
1908,Emma Miller,100,67,41,88,92,69,457,76.17,B,ISE
1909,Olivia Williams,90,72,58,80,77,60,437,72.83,B,EEE
1910,Ava Miller,88,84,74,42,90,60,438,73.0,B,ISE
1911,Liam Johnson,54,42,40,71,87,75,369,61.5,C,CSE
1912,Lucas Johnson,93,92,50,71,66,69,441,73.5,B,ISE
1913,Ethan Williams,53,91,73,50,100,95,462,77.0,B,CSE
1914,Sophia Davis,95,100,42,59,87,79,462,77.0,B,ISE
1915,Emma Johnson,77,42,47,45,72,60,343,57.17,D,ECE
1916,Ava Miller,50,56,85,63,45,94,393,65.5,C,ECE
1917,Ava Williams,55,49,80,64,74,68,390,65.0,C,EEE
1918,Emma Smith,65,63,89,40,57,69,383,63.83,C,EEE
1919,Lucas Johnson,78,76,59,67,51,63,394,65.67,C,ECE
1920,Liam Williams,53,70,96,79,89,80,467,77.83,B,ISE
1921,Lucas Jones,55,86,93,74,74,62,444,74.0,B,ECE
1922,Liam Garcia,60,65,66,45,85,75,396,66.0,C,ISE
1923,Olivia Johnson,64,52,55,91,73,55,390,65.0,C,CSE
1924,Olivia Williams,63,99,83,87,61,79,472,78.67,B,ECE
1925,Mia Smith,60,77,42,73,80,58,390,65.0,C,CSE
1926,Mason Miller,92,94,72,69,71,45,443,73.83,B,ECE
1927,Ethan Smith,47,64,65,65,97,74,412,68.67,C,CSE
1928,Lucas Davis,79,67,88,69,99,72,474,79.0,B,ISE
1929,Emma Davis,45,77,66,85,55,97,425,70.83,B,ISE
1930,Emma Miller,55,73,62,45,96,84,415,69.17,C,ISE
1931,Olivia Davis,44,90,76,43,47,88,388,64.67,C,EEE
1932,Liam Jones,57,95,89,68,67,82,458,76.33,B,ISE
1933,Sophia Brown,76,63,85,100,47,80,451,75.17,B,CSE
1934,Mia Johnson,61,93,52,93,83,57,439,73.17,B,CSE
1935,Emma Garcia,82,99,47,95,85,99,507,84.5,B,EEE
1936,Emma Johnson,49,99,44,95,65,66,418,69.67,C,ECE
1937,Emma Brown,79,67,58,56,81,50,391,65.17,C,CSE
1938,Lucas Brown,95,92,80,64,49,59,439,73.17,B,CSE
1939,Sophia Garcia,76,42,83,64,100,48,413,68.83,C,CSE
1940,Lucas Garcia,45,98,44,67,53,46,353,58.83,D,EEE
1941,Sophia Williams,49,81,73,76,98,62,439,73.17,B,ECE
1942,Sophia Smith,51,96,86,85,58,55,431,71.83,B,ECE
1943,Ava Smith,98,97,99,94,77,89,554,92.33,A,ISE
1944,Sophia Jones,62,44,82,59,96,92,435,72.5,B,CSE
1945,Ethan Miller,66,88,92,95,81,75,497,82.83,B,EEE
1946,Lucas Miller,77,90,81,51,88,80,467,77.83,B,ECE
1947,Noah Jones,65,41,88,63,43,94,394,65.67,C,ISE
1948,Olivia Jones,67,85,42,59,43,75,371,61.83,C,EEE
1949,Olivia Johnson,46,100,44,53,95,93,431,71.83,B,ISE
1950,Mia Jones,59,82,52,67,77,55,392,65.33,C,EEE
1951,Olivia Jones,81,61,98,78,57,69,444,74.0,B,EEE
1952,Olivia Garcia,74,64,68,59,70,77,412,68.67,C,ECE
1953,Olivia Davis,91,97,49,64,95,41,437,72.83,B,ECE
1954,Olivia Smith,64,88,47,92,98,57,446,74.33,B,ISE
1955,Ethan Johnson,72,43,91,45,45,94,390,65.0,C,ISE
1956,Olivia Johnson,76,49,98,70,99,43,435,72.5,B,ISE
1957,Emma Jones,68,53,47,86,67,66,387,64.5,C,EEE
1958,Sophia Miller,76,88,45,77,72,98,456,76.0,B,ISE
1959,Noah Brown,71,65,55,40,89,69,389,64.83,C,EEE
1960,Emma Jones,70,96,84,89,77,41,457,76.17,B,EEE
1961,Liam Jones,94,41,83,89,59,98,464,77.33,B,EEE
1962,Sophia Miller,80,43,59,99,62,94,437,72.83,B,ECE
1963,Liam Jones,52,49,43,82,77,63,366,61.0,C,EEE
1964,Lucas Brown,49,71,62,76,99,58,415,69.17,C,EEE
1965,Ethan Garcia,52,89,70,77,90,84,462,77.0,B,EEE
1966,Emma Garcia,86,99,90,59,54,71,459,76.5,B,ISE
1967,Emma Jones,99,84,97,64,65,55,464,77.33,B,CSE
1968,Liam Brown,94,85,95,66,70,40,450,75.0,B,ECE
1969,Ava Williams,100,55,99,85,55,100,494,82.33,B,CSE
1970,Mia Garcia,40,63,40,62,48,97,350,58.33,D,ECE
1971,Mia Davis,41,49,82,83,75,90,420,70.0,B,CSE
1972,Ava Garcia,94,48,41,85,91,84,443,73.83,B,CSE
1973,Olivia Johnson,51,59,70,66,57,96,399,66.5,C,ECE
1974,Mason Jones,48,45,100,71,67,82,413,68.83,C,ECE
1975,Emma Williams,46,56,82,99,83,68,434,72.33,B,ECE
1976,Lucas Smith,57,63,78,82,64,53,397,66.17,C,ECE
1977,Mason Smith,86,47,73,92,97,75,470,78.33,B,CSE
1978,Emma Garcia,99,96,92,76,59,52,474,79.0,B,ECE
1979,Mia Garcia,77,62,77,60,60,42,378,63.0,C,CSE
1980,Sophia Johnson,66,99,92,46,83,46,432,72.0,B,CSE
1981,Noah Johnson,50,44,66,45,96,55,356,59.33,D,ECE
1982,Mason Williams,60,92,95,75,71,43,436,72.67,B,CSE
1983,Mason Garcia,78,86,80,42,75,53,414,69.0,C,ECE
1984,Olivia Miller,77,56,70,47,44,49,343,57.17,D,ECE
1985,Ava Williams,71,85,40,59,71,78,404,67.33,C,EEE
1986,Olivia Brown,86,100,70,91,63,95,505,84.17,B,CSE
1987,Lucas Williams,95,98,75,68,49,54,439,73.17,B,CSE
1988,Olivia Garcia,48,64,71,90,100,47,420,70.0,B,EEE
1989,Ava Williams,83,87,59,71,45,50,395,65.83,C,CSE
1990,Emma Davis,94,67,43,75,63,55,397,66.17,C,ECE
1991,Lucas Smith,84,81,94,73,53,87,472,78.67,B,ISE
1992,Emma Jones,57,55,59,68,42,93,374,62.33,C,CSE
1993,Ava Garcia,98,46,41,52,92,44,373,62.17,C,EEE
1994,Emma Davis,58,76,63,81,65,71,414,69.0,C,ECE
1995,Sophia Miller,67,88,98,88,46,66,453,75.5,B,CSE
1996,Emma Davis,88,71,74,82,77,70,462,77.0,B,CSE
1997,Lucas Brown,83,43,62,47,93,45,373,62.17,C,ECE
1998,Noah Miller,44,77,81,67,85,56,410,68.33,C,ECE
1999,Lucas Garcia,80,64,59,70,41,54,368,61.33,C,CSE
2000,Mason Williams,98,84,80,87,80,40,469,78.17,B,CSE
2001,Ethan Jones,56,49,46,86,90,83,410,68.33,C,ISE
2002,Lucas Johnson,68,86,40,45,54,87,380,63.33,C,ECE
2003,Mason Brown,68,71,47,78,74,49,387,64.5,C,CSE
2004,Emma Miller,97,47,78,87,53,66,428,71.33,B,ECE
2005,Mason Davis,55,62,47,62,77,63,366,61.0,C,CSE
2006,Mason Miller,45,67,81,78,96,93,460,76.67,B,ISE
2007,Emma Brown,68,77,100,41,75,62,423,70.5,B,ISE
2008,Olivia Garcia,45,75,91,80,71,80,442,73.67,B,ECE
2009,Ethan Jones,55,93,89,78,72,50,437,72.83,B,CSE
2010,Mia Smith,86,88,80,48,71,45,418,69.67,C,ISE
2011,Liam Williams,55,42,48,99,42,71,357,59.5,D,ISE
2012,Lucas Davis,87,44,69,77,89,82,448,74.67,B,EEE
2013,Ethan Jones,52,54,66,94,41,94,401,66.83,C,EEE
2014,Ethan Williams,48,52,94,96,77,65,432,72.0,B,EEE
2015,Liam Williams,68,73,40,56,70,89,396,66.0,C,CSE
2016,Lucas Smith,98,84,88,67,85,59,481,80.17,B,EEE
2017,Noah Williams,66,91,53,72,47,49,378,63.0,C,CSE
2018,Ava Williams,69,52,86,78,58,41,384,64.0,C,ECE
2019,Lucas Jones,93,90,48,64,40,52,387,64.5,C,ISE
2020,Emma Garcia,83,99,70,67,71,40,430,71.67,B,CSE
2021,Olivia Smith,95,51,65,51,63,62,387,64.5,C,CSE
2022,Mason Garcia,94,97,100,77,87,78,533,88.83,A,EEE
2023,Olivia Miller,53,88,83,63,72,59,418,69.67,C,CSE
2024,Ava Davis,87,43,90,66,50,84,420,70.0,B,ECE
2025,Noah Davis,92,61,89,43,66,69,420,70.0,B,CSE
2026,Sophia Smith,69,47,45,88,55,100,404,67.33,C,ISE
2027,Ethan Jones,51,92,78,42,91,68,422,70.33,B,ISE
2028,Mason Garcia,75,57,58,85,63,57,395,65.83,C,ISE
2029,Mason Smith,54,40,48,41,77,72,332,55.33,D,ISE
2030,Ava Garcia,95,46,47,41,52,48,329,54.83,D,EEE
2031,Mason Williams,66,70,89,68,79,90,462,77.0,B,CSE
2032,Liam Smith,43,67,87,58,68,87,410,68.33,C,CSE
2033,Lucas Davis,71,65,64,92,63,47,402,67.0,C,ECE
2034,Mason Garcia,65,96,79,67,40,82,429,71.5,B,ECE
2035,Ava Jones,70,55,94,51,48,69,387,64.5,C,EEE
2036,Sophia Smith,74,92,71,58,67,57,419,69.83,C,ECE
2037,Emma Davis,59,88,87,55,41,50,380,63.33,C,CSE
2038,Noah Garcia,92,90,75,46,51,96,450,75.0,B,ISE
2039,Mason Jones,86,56,86,68,83,99,478,79.67,B,CSE
2040,Emma Miller,84,63,71,50,89,97,454,75.67,B,ISE
2041,Ava Davis,79,81,46,81,61,55,403,67.17,C,EEE
2042,Sophia Jones,62,95,48,42,76,72,395,65.83,C,CSE
2043,Olivia Davis,92,90,69,60,91,47,449,74.83,B,EEE
2044,Liam Brown,65,56,88,53,65,50,377,62.83,C,EEE
2045,Olivia Williams,50,88,73,99,78,85,473,78.83,B,ECE
2046,Lucas Smith,55,42,49,74,52,52,324,54.0,D,CSE
2047,Ava Williams,45,59,91,48,73,51,367,61.17,C,EEE
2048,Mason Garcia,95,51,97,97,87,53,480,80.0,B,ISE
2049,Ava Miller,72,80,71,88,77,59,447,74.5,B,ECE
2050,Liam Jones,70,60,89,86,100,57,462,77.0,B,CSE
2051,Ava Davis,64,72,65,75,56,45,377,62.83,C,ECE
2052,Lucas Garcia,85,46,43,87,60,61,382,63.67,C,CSE
2053,Emma Davis,56,46,64,82,94,49,391,65.17,C,ISE
2054,Mia Smith,90,66,70,97,68,78,469,78.17,B,ECE
2055,Lucas Johnson,57,90,50,46,86,79,408,68.0,C,ECE
2056,Ethan Davis,85,80,63,52,45,99,424,70.67,B,CSE
2057,Ethan Williams,70,67,98,50,57,46,388,64.67,C,CSE
2058,Liam Johnson,61,100,41,88,66,62,418,69.67,C,ECE
2059,Ava Davis,76,70,88,63,99,76,472,78.67,B,ISE
2060,Mason Smith,40,53,61,52,84,59,349,58.17,D,CSE
2061,Liam Williams,73,96,68,62,51,74,424,70.67,B,EEE
2062,Olivia Brown,66,96,62,56,45,45,370,61.67,C,CSE
2063,Sophia Miller,44,69,65,84,81,89,432,72.0,B,ECE
2064,Ethan Jones,84,83,72,77,79,82,477,79.5,B,EEE
2065,Liam Williams,85,56,82,93,48,91,455,75.83,B,EEE
2066,Olivia Williams,41,44,49,43,63,59,299,49.83,D,EEE
2067,Mia Johnson,72,74,89,51,94,92,472,78.67,B,ISE
2068,Olivia Williams,61,74,71,56,99,98,459,76.5,B,EEE
2069,Olivia Smith,44,92,94,55,54,78,417,69.5,C,CSE
2070,Noah Smith,56,83,67,61,40,51,358,59.67,D,CSE
2071,Emma Davis,76,80,56,43,96,64,415,69.17,C,CSE
2072,Mason Smith,97,60,98,98,83,58,494,82.33,B,CSE
2073,Ava Davis,76,69,91,74,90,53,453,75.5,B,ECE
2074,Ethan Brown,99,88,66,46,86,77,462,77.0,B,EEE
2075,Ethan Johnson,49,67,42,78,61,63,360,60.0,C,ECE
2076,Sophia Williams,60,70,56,78,97,98,459,76.5,B,EEE
2077,Liam Davis,89,61,92,57,87,71,457,76.17,B,EEE
2078,Lucas Brown,53,90,56,59,76,94,428,71.33,B,EEE
2079,Ethan Davis,64,61,93,66,100,85,469,78.17,B,EEE
2080,Olivia Garcia,47,85,73,57,87,45,394,65.67,C,EEE
2081,Ava Miller,41,42,100,57,94,50,384,64.0,C,ECE
2082,Mia Garcia,84,52,64,91,73,91,455,75.83,B,ISE
2083,Liam Brown,83,53,40,79,60,75,390,65.0,C,ISE
2084,Olivia Smith,77,44,93,77,65,96,452,75.33,B,CSE
2085,Emma Smith,44,92,47,97,59,83,422,70.33,B,ISE
2086,Mason Williams,49,60,94,75,65,100,443,73.83,B,ECE
2087,Mia Miller,50,66,88,56,66,46,372,62.0,C,EEE
2088,Emma Miller,91,63,62,70,48,86,420,70.0,B,CSE
2089,Olivia Brown,65,100,90,95,72,53,475,79.17,B,ECE
2090,Ethan Williams,54,99,50,62,76,47,388,64.67,C,CSE
2091,Emma Smith,79,44,71,63,71,73,401,66.83,C,CSE
2092,Mason Miller,91,48,83,95,82,54,453,75.5,B,ECE
2093,Liam Brown,75,64,74,72,70,57,412,68.67,C,CSE
2094,Liam Miller,53,77,64,44,46,61,345,57.5,D,EEE
2095,Ava Garcia,77,84,98,60,86,79,484,80.67,B,EEE
2096,Liam Jones,56,43,58,93,44,68,362,60.33,C,CSE
2097,Sophia Miller,90,98,65,67,55,58,433,72.17,B,EEE
2098,Liam Garcia,52,72,97,69,100,88,478,79.67,B,CSE
2099,Ava Brown,48,91,41,44,59,69,352,58.67,D,CSE
2100,Liam Smith,56,76,64,44,41,67,348,58.0,D,CSE
2101,Ava Johnson,41,82,97,79,40,53,392,65.33,C,EEE
2102,Liam Davis,89,75,83,55,64,90,456,76.0,B,EEE
2103,Olivia Miller,75,56,55,46,71,53,356,59.33,D,CSE
2104,Mason Davis,43,85,94,86,50,53,411,68.5,C,ECE
2105,Sophia Williams,45,76,64,70,97,56,408,68.0,C,ECE
2106,Mia Davis,66,40,42,85,99,84,416,69.33,C,ISE
2107,Noah Jones,74,73,96,100,96,54,493,82.17,B,ECE
2108,Ethan Williams,64,75,79,80,81,80,459,76.5,B,CSE
2109,Liam Smith,47,70,66,43,97,80,403,67.17,C,ECE
2110,Mason Jones,91,79,50,51,79,100,450,75.0,B,ISE
2111,Olivia Garcia,77,75,80,98,71,96,497,82.83,B,ECE
2112,Ava Garcia,96,81,97,88,96,52,510,85.0,A,ISE
2113,Noah Williams,69,82,47,76,87,57,418,69.67,C,EEE
2114,Emma Davis,62,48,68,46,45,78,347,57.83,D,ECE
2115,Liam Garcia,93,69,81,49,52,84,428,71.33,B,ECE
2116,Liam Miller,63,87,43,96,65,94,448,74.67,B,EEE
2117,Mason Williams,99,52,56,92,66,61,426,71.0,B,ISE
2118,Noah Davis,53,46,75,90,82,45,391,65.17,C,ECE
2119,Liam Brown,80,74,95,87,46,67,449,74.83,B,ECE
2120,Mason Davis,97,61,61,58,40,41,358,59.67,D,ECE
2121,Mason Brown,84,56,44,67,84,56,391,65.17,C,ECE
2122,Liam Johnson,45,56,53,78,95,62,389,64.83,C,EEE
2123,Ethan Davis,76,82,42,67,82,56,405,67.5,C,ISE
2124,Ava Davis,64,64,90,84,96,51,449,74.83,B,EEE
2125,Mason Brown,40,66,69,70,94,41,380,63.33,C,ECE
2126,Olivia Williams,68,41,75,84,96,98,462,77.0,B,ECE
2127,Sophia Williams,66,48,90,70,53,71,398,66.33,C,ECE
2128,Mason Davis,72,100,82,100,69,70,493,82.17,B,EEE
2129,Lucas Brown,49,79,89,45,40,44,346,57.67,D,CSE
2130,Emma Jones,100,86,93,40,98,65,482,80.33,B,CSE
2131,Olivia Miller,83,96,73,44,91,96,483,80.5,B,CSE
2132,Lucas Garcia,84,76,51,76,88,84,459,76.5,B,CSE
2133,Olivia Smith,81,69,79,71,83,64,447,74.5,B,CSE
2134,Mia Williams,86,98,61,84,51,52,432,72.0,B,ECE
2135,Sophia Davis,44,62,100,49,55,48,358,59.67,D,ECE
2136,Lucas Davis,95,63,81,54,76,47,416,69.33,C,ISE
2137,Noah Jones,94,48,48,80,60,81,411,68.5,C,ISE
2138,Mason Davis,83,83,89,71,90,46,462,77.0,B,CSE
2139,Mason Miller,53,50,70,48,70,82,373,62.17,C,ISE
2140,Liam Miller,54,95,98,41,40,41,369,61.5,C,ECE
2141,Lucas Brown,69,44,55,87,91,91,437,72.83,B,ISE
2142,Olivia Miller,48,79,90,95,79,86,477,79.5,B,ISE
2143,Noah Garcia,98,56,64,41,71,49,379,63.17,C,ECE
2144,Ava Miller,90,50,84,40,87,98,449,74.83,B,CSE
2145,Noah Johnson,77,41,86,69,50,85,408,68.0,C,ISE
2146,Mia Miller,64,66,61,78,43,83,395,65.83,C,ISE
2147,Mia Garcia,54,52,48,60,71,78,363,60.5,C,ECE
2148,Mason Williams,100,59,77,50,94,80,460,76.67,B,CSE
2149,Liam Garcia,76,86,77,78,93,83,493,82.17,B,ISE
2150,Emma Miller,92,61,50,76,77,59,415,69.17,C,ECE
2151,Ava Johnson,89,42,67,43,92,44,377,62.83,C,EEE
2152,Ethan Davis,63,88,48,75,58,91,423,70.5,B,ECE
2153,Emma Johnson,94,91,68,79,68,86,486,81.0,B,ECE
2154,Noah Miller,48,60,88,43,62,76,377,62.83,C,CSE
2155,Noah Jones,47,72,67,58,86,40,370,61.67,C,ISE
2156,Noah Williams,81,42,40,81,91,54,389,64.83,C,CSE
2157,Liam Brown,86,71,71,95,49,40,412,68.67,C,ECE
2158,Ava Williams,100,91,93,48,53,78,463,77.17,B,CSE
2159,Ethan Miller,86,70,49,90,70,85,450,75.0,B,ISE
2160,Emma Miller,61,61,90,90,64,45,411,68.5,C,CSE
2161,Liam Johnson,65,60,49,43,92,42,351,58.5,D,ISE
2162,Olivia Garcia,53,40,100,81,91,73,438,73.0,B,ECE
2163,Olivia Garcia,95,98,46,46,95,80,460,76.67,B,ISE
2164,Liam Miller,77,94,83,77,92,66,489,81.5,B,CSE
2165,Ava Johnson,82,78,60,89,57,50,416,69.33,C,CSE
2166,Liam Miller,91,76,56,59,75,69,426,71.0,B,EEE
2167,Lucas Brown,95,75,54,87,82,58,451,75.17,B,CSE
2168,Sophia Garcia,78,92,45,48,91,61,415,69.17,C,CSE
2169,Ethan Johnson,90,47,78,87,67,55,424,70.67,B,EEE
2170,Liam Brown,45,70,75,41,43,61,335,55.83,D,EEE
2171,Ava Jones,55,56,50,78,73,42,354,59.0,D,ISE
2172,Mia Brown,43,75,75,67,63,84,407,67.83,C,CSE
2173,Mia Williams,57,43,65,98,76,98,437,72.83,B,ECE
2174,Emma Jones,75,44,58,81,49,72,379,63.17,C,CSE
2175,Noah Johnson,50,47,100,70,56,78,401,66.83,C,CSE
2176,Ava Miller,54,90,60,52,88,45,389,64.83,C,CSE
2177,Olivia Jones,55,86,40,47,52,65,345,57.5,D,ECE
2178,Ava Brown,92,72,76,91,72,75,478,79.67,B,ISE
2179,Olivia Garcia,69,77,56,76,70,90,438,73.0,B,EEE
2180,Lucas Miller,57,85,61,76,94,47,420,70.0,B,EEE
2181,Lucas Johnson,90,59,88,80,86,75,478,79.67,B,EEE
2182,Mia Williams,54,80,86,42,61,65,388,64.67,C,CSE
2183,Ethan Garcia,71,54,61,48,69,89,392,65.33,C,ECE
2184,Olivia Jones,85,58,41,89,49,84,406,67.67,C,ISE
2185,Lucas Williams,45,79,89,71,73,59,416,69.33,C,CSE
2186,Ethan Johnson,73,43,100,86,40,51,393,65.5,C,ECE
2187,Lucas Johnson,95,91,90,59,95,56,486,81.0,B,ISE
2188,Noah Miller,93,97,97,76,47,49,459,76.5,B,ECE
2189,Mia Garcia,56,94,41,53,90,92,426,71.0,B,ECE
2190,Ethan Johnson,71,70,72,74,93,97,477,79.5,B,CSE
2191,Mia Miller,60,44,66,65,49,94,378,63.0,C,ISE
2192,Mia Davis,73,59,98,60,76,78,444,74.0,B,CSE
2193,Ethan Davis,99,80,60,58,72,75,444,74.0,B,EEE
2194,Ava Williams,78,41,45,73,61,68,366,61.0,C,CSE
2195,Ava Miller,53,99,83,97,98,89,519,86.5,A,ISE
2196,Sophia Brown,43,50,99,81,47,91,411,68.5,C,ISE
2197,Ethan Miller,87,75,59,45,70,86,422,70.33,B,CSE
2198,Ethan Williams,77,61,55,48,57,99,397,66.17,C,ECE
2199,Mason Brown,44,54,56,97,98,89,438,73.0,B,ECE
2200,Noah Williams,96,90,82,90,70,92,520,86.67,A,ISE
